,norm_form,real_view,f_a,f_b,f_ab,f_a_contrasting,f_b_contrasting,f_ab_contrasting,part_of_speech_a,part_of_speech_b,syntax_templates,mi,mi3,t_score,dice,chi_sq,jaccard,poisson_stirling,log_dice,minimum_sensitivity,mi_contrasting,mi3_contrasting,t_score_contrasting,dice_contrasting,chi_sq_contrasting,jaccard_contrasting,poisson_stirling_contrasting,log_dice_contrasting,minimum_sensitivity_contrasting,weirdness,cw,dw,value,check_frequency,check_collect,measure_comb_3,measure_comb_5,measure_comb_weardness,rang_mi,rang_mi3,rang_t_score,rang_minimum_sensitivity,rang_dice,rang_weirdness,measure_comb_weirdness,class
5,"('московский', 'государственный')",московский государственный,14,40,4,228,167,1,ADJF,ADJF,1,12.82446868862286,16.82446868862286,1.9997242723991748,0.0071428571428571,0.0285635511830172,0.08,-32.51713206777987,-6.129283016944966,0.1,6.557264055640596,6.557264055640596,0.989381410552272,2.626326294778864e-05,2.570846663374313e-05,0.0025380710659898,-16.216594306638793,-14.216594306638791,0.0043859649122807,14.124292094003415,39.62335270484841,12.35399949335842,0.7,1.0,0.4,900058.3388725027,815246498.0249376,10407601.453833016,10000,10000,10000,10000,10000,10000,1283437.8617895993,0
6,"('государственный', 'университет')",государственный университет,40,45,7,167,90,0,ADJF,NOUN,1,11.947325436408397,17.562035280523602,2.6450813559674047,0.0038888888888888,0.0272084375876691,0.0897435897435897,-63.04498388411604,-7.006426269159433,0.1555555555555555,0.0,0.0,0.0,0.0,1.1689340349017927e-09,0.0,0.0,0.0,0.0,0.0,54.25564172963514,22.69185145550069,0.7,1.0,0.4,973046.4243978016,470655510.1480762,10407601.453833016,10000,10000,10000,10000,10000,10000,1728665.1834939232,0
49,"('привести', 'пример')",привести пример,447,544,13,663,259,0,INFN,NOUN,1,5.762597561275263,13.163476997557447,3.5391376853844245,5.3460981708119486e-05,0.0006696252888102,0.0132924335378323,-197.48500387580333,-13.191154144292565,0.0238970588235294,0.0,0.0,0.0,0.0,1.335501301871132e-08,0.0,0.0,0.0,0.0,0.0,68.21081489485991,29.52101202602305,0.9,1.0,0.8,1728665.1834939232,1767676005.920144,10407601.453833016,10000,10000,10000,10000,10000,10000,1728665.1834939232,1
53,"('который', 'строиться')",который строится,6404,27,6,20852,126,1,ADJF,INFN,1,5.139069111609259,10.308994113051572,2.379977440499538,3.470053438822958e-05,0.0001965539807511,0.0009338521400778,-94.88809556375142,-13.814682593958567,0.0009369144284821,0.448680294183461,0.448680294183461,0.2672872091956382,3.806113531799317e-07,2.719180840617964e-08,4.767125899795013e-05,-22.32517806809593,-20.32517806809593,4.79570305006714e-05,21.186438141005127,49.95763030236153,15.200988912035715,0.7,1.0,0.4,1728665.1834939232,2866679822.91928,10407601.453833016,10000,10000,10000,10000,10000,10000,1251937.7406681546,1
60,"('каждый', 'знать')",каждый знает,1211,394,2,3049,10503,6,ADJF,INFN,1,2.0897167364171234,4.089716736417123,1.0819768827885947,4.191694576366387e-06,4.907107751235185e-06,0.0012476606363069,-37.72806993830141,-16.864034969150705,0.0016515276630883,-0.5738134191588626,4.5961115822834495,-1.19645998657002,1.873615456727961e-07,2.682111439955229e-07,0.0004429351838181,-140.0860306886295,-21.34767178143825,0.0005712653527563,1.1770243411669514,19.13360444731157,3.198512807074798,0.25,0.5,0.0,1728665.1834939232,10089575232.799965,10407601.453833016,10000,10000,10000,10000,10000,10000,1671811.3063479008,0
73,"('недооценивать', 'тот')",недооценивать тот,2,3005,1,30,22140,1,INFN,ADJF,1,7.400602429969281,7.400602429969281,0.9940817039965733,0.0001663893510815,0.0001644256962097,0.0003326679973386,-13.553149275598548,-11.553149275598548,0.000332778702163,2.432600165001957,2.432600165001957,0.8147686965232458,1.5055706112616682e-06,9.994700825567436e-07,4.510803374080924e-05,-20.34125819727744,-18.34125819727744,4.516711833785005e-05,3.531073023500854,0.0,6.625182861823457,0.25,0.5,0.0,1728665.1834939232,4818177837.2898445,10407601.453833016,10000,10000,10000,10000,10000,10000,1458225.1192317626,0
75,"('простой', 'факт')",простейший факт,529,212,1,920,187,2,ADJF,NOUN,1,3.178707338890604,3.178707338890604,0.8895632179380499,8.916788529443236e-06,7.056057341265992e-06,0.0013513513513513,-17.775044366677225,-15.775044366677225,0.0018903591682419,5.381473851447378,7.381473851447378,1.380287774077434,1.1625203441060218e-05,2.214827178874259e-05,0.0018099547511312,-34.784769021664026,-15.392384510832011,0.0021739130434782,1.765536511750427,0.0,4.747386963683065,0.25,0.5,0.0,1728665.1834939232,10847683431.257635,10407601.453833016,10000,10000,10000,10000,10000,10000,1588067.0819030842,0
80,"('этот', 'клетка')",эта клетка,4289,2848,33,15635,208,4,ADJF,NOUN,1,1.4559867933243278,11.544775032041237,3.6506369245107626,2.7015804736967578e-06,3.600436808737977e-05,0.0046452702702702,-643.4262421040355,-17.4977649122435,0.0076941011890883,2.140927045325895,6.140927045325895,1.546531904990453,1.229982042262183e-06,2.941822997162922e-06,0.0002525411957825,-82.53172526781398,-18.632931316953496,0.0002558362647905,29.131352443882047,85.3720881915738,24.66201499872741,0.7,1.0,0.4,1728665.1834939232,5989323595.168361,10407601.453833016,10000,10000,10000,10000,10000,10000,1013766.0931645472,0
90,"('понять', 'этот')",понять этот,145,4289,4,2635,15635,15,INFN,ADJF,1,2.707417014917337,6.707417014917338,1.6937921900157067,6.431850523793827e-06,1.8452541677318585e-05,0.000902934537246,-72.98533876260197,-16.246334690650492,0.0009326183259501,0.3846701125509288,8.198451303767966,0.9064557876676212,3.6409335596375813e-07,2.991617096353524e-07,0.000821692686935,-335.83782374592687,-20.389188249728463,0.0009593859929645,0.9416194729335612,35.77135386773596,2.420950366650981,0.25,0.5,0.0,1728665.1834939232,6814514028.310275,10407601.453833016,10000,10000,10000,10000,10000,10000,1726744.4444011522,0
91,"('этот', 'принцип')",Этот принцип,4289,413,14,15635,53,1,ADJF,NOUN,1,3.004683055570431,10.61939289968564,3.2754659513751787,7.903545135170381e-06,8.479458447995151e-05,0.0029863481228668,-251.28696109996355,-15.949068649997397,0.0032641641408253,2.113446308903788,2.113446308903788,0.7689056823509037,1.2067748339176136e-06,7.134645278813364e-07,6.374705169885892e-05,-20.6604120533756,-18.6604120533756,6.395906619763352e-05,49.43502232901197,69.39556869621711,23.38112736214336,0.8,1.0,0.6,1728665.1834939232,4445966942.606158,10407601.453833016,10000,10000,10000,10000,10000,10000,1205840.00244165,1
99,"('изучать', 'поведение')",изучал поведение,184,585,1,383,167,2,INFN,NOUN,1,3.2378969350400486,3.2378969350400486,0.8940024323113358,9.29022668153103e-06,7.425124015037017e-06,0.0013020833333333,-17.71585477052778,-15.71585477052778,0.0017094017094017,6.80895348788038,8.80895348788038,1.4016006389530835,3.126905458013477e-05,6.142756839679467e-05,0.0036496350364963,-31.92980974879801,-13.964904874399007,0.0052219321148825,1.765536511750427,0.0,4.747386963683065,0.25,0.5,0.0,1728665.1834939232,10718222585.609444,10407601.453833016,10000,10000,10000,10000,10000,10000,1588067.0819030842,1
122,"('питательный', 'среда')",питательная среда,79,1436,11,13,80,0,ADJF,NOUN,1,6.621562542204972,13.540425779479566,3.2829420514209104,9.696414089771165e-05,0.0010450512468078,0.007313829787234,-157.65408079699145,-12.332189163362855,0.0076601671309192,0.0,0.0,0.0,0.0,8.088432443764901e-11,0.0,0.0,0.0,0.0,0.0,64.60202393541326,27.50476700466691,0.7,1.0,0.4,1728665.1834939232,1374855669.6830027,10407601.453833016,10000,10000,10000,10000,10000,10000,1728665.1834939232,0
125,"('наблюдать', 'этот')",наблюдать этот,251,4289,2,835,15635,7,INFN,ADJF,1,0.9157825509815,2.9157825509815,0.6646007852429421,1.857805430179492e-06,8.205818901972621e-07,0.000440722785368,-40.075938309172656,-18.037969154586328,0.000466309162975,0.9430892981631768,6.557799142278385,1.2696485929885062,5.361837884831552e-07,8.643323150496337e-07,0.0004251958938225,-152.81538344881346,-19.83076906411621,0.0004477134633834,1.0088780067145298,18.963679445869253,2.830398908341833,0.25,0.5,0.0,1728665.1834939232,14370643507.658808,10407601.453833016,10000,10000,10000,10000,10000,10000,1710994.3838404298,0
148,"('жить', 'самостоятельный')",жить самостоятельно,484,136,1,1911,16,1,INFN,ADJF,1,3.9474256270428953,3.9474256270428953,0.9351803800117184,1.5192027224112783e-05,1.32863749264533e-05,0.0016155088852988,-17.006326078524935,-15.006326078524934,0.0020661157024793,6.873746299301933,6.873746299301933,0.9914730016032742,3.270538984824699e-05,3.215001023378487e-05,0.0005192107995846,-15.900112062977456,-13.900112062977456,0.0005232862375719,3.531073023500854,0.0,6.625182861823457,0.25,0.5,0.0,1728665.1834939232,9260097628.996336,10407601.453833016,10000,10000,10000,10000,10000,10000,1458225.1192317626,0
162,"('менять', 'свой')",меняет свои,87,2044,16,206,19408,7,INFN,ADJF,1,6.513628728781479,14.513628728781478,3.9562213501789767,8.9974582180534e-05,0.0014082540316811,0.0075650118203309,-231.0419676285816,-12.44012297678635,0.0078277886497064,2.650348922033265,8.265058766148474,2.224331939142724,1.7508544169554742e-06,8.662619365358547e-06,0.0003570153516601,-140.86456608172287,-18.123509440246124,0.0003606760098928,8.071024053716238,70.44016996501821,12.330544566072314,0.7,1.0,0.4,1728665.1834939232,1263388566.871599,10407601.453833016,10000,10000,10000,10000,10000,10000,1339523.4432985133,0
166,"('направление', 'движение')",направление движения,833,902,29,517,1129,2,NOUN,NOUN,1,5.292576392074472,15.008538382329617,5.247768597931368,3.859636981178281e-05,0.0010629083329104,0.0169988276670574,-454.1740840913073,-13.661175313493356,0.032150776053215,3.619008121191454,5.619008121191454,1.2991109981574516,3.426458771991441e-06,5.782798099458621e-06,0.0012165450121654,-38.30970048217587,-17.154850241087935,0.0017714791851195,51.20055884076238,83.4572382367201,28.46495721355509,0.8,1.0,0.6,1728665.1834939232,1794652147.9224796,10407601.453833016,10000,10000,10000,10000,10000,10000,1030284.4493623782,0
176,"('время', 'двигаться')",время двигаться,2089,339,2,8168,957,4,NOUN,INFN,1,1.5200134653643764,3.5200134653643764,0.9211018125962293,2.824176646600892e-06,2.396112094869908e-06,0.0008244023083264,-38.86747648040691,-17.433738240203454,0.0009573958831977,0.875716096915563,4.875716096915563,0.9100334180474188,5.117199213588825e-07,4.237863906874489e-07,0.0004385484047801,-87.59256906145531,-19.898142265363827,0.0004897159647404,1.765536511750427,19.548641946590408,4.306222883423073,0.25,0.5,0.0,1728665.1834939232,12280687840.46452,10407601.453833016,10000,10000,10000,10000,10000,10000,1588067.0819030842,0
190,"('почти', 'невозможно')",почти невозможно,330,123,1,2527,451,25,ADVB,ADVB,1,4.644914985982773,4.644914985982773,0.9600293452946592,2.463661000246366e-05,2.270648789915969e-05,0.0022123893805309,-16.308836719585056,-14.308836719585056,0.003030303030303,6.297520979853958,15.585233359403407,4.9364336476204524,2.193603977267243e-05,0.0005345456905193,0.00846596681341,-411.9084345606358,-14.476337382425433,0.0098931539374752,0.1412429209400341,0.0,0.5843055314724714,0.25,0.5,0.0,1728665.1834939232,8004708448.327716,10407601.453833016,10000,10000,10000,10000,10000,10000,1728665.1834939232,1
193,"('последний', 'десятилетие')",последние десятилетия,718,38,21,3097,59,3,ADJF,NOUN,1,9.610301581079952,18.39493642663747,4.576712685372141,0.0007696818648292,0.0161219864790123,0.0285714285714285,-238.21245261424545,-9.343450124487877,0.0292479108635097,5.879522145964041,9.049447147406354,1.7026304395333147,1.6418294358126782e-05,4.759582122051534e-05,0.0009514747859181,-50.68300864894604,-14.894336216315349,0.0009686793671294,24.71751116450598,77.07920576811523,21.275058167716143,0.7,1.0,0.4,1541585.1958580252,338699132.7141529,10407601.453833016,10000,10000,10000,10000,10000,10000,1228120.575917794,1
210,"('этот', 'система')",эта система,4289,2532,30,15635,85,9,ADJF,NOUN,1,1.4881550111124493,11.301936202329486,3.524769236542982,2.7624950413214006e-06,3.43212333404416e-05,0.0044176115446915,-583.9679008336614,-17.465596694455378,0.0069946374446257,4.601900828771598,10.941750831656222,2.876459012577527,6.772136420925901e-06,5.6032768155417775e-05,0.0005728470498376,-163.54761780157014,-16.171957533507793,0.0005756315957787,11.770243411669515,82.67228506768843,16.540158126077472,0.9,1.0,0.8,1728665.1834939232,6007073380.38699,10407601.453833016,10000,10000,10000,10000,10000,10000,1145528.79492864,1
250,"('основный', 'тип')",основной тип,668,993,18,90,124,3,ADJF,NOUN,1,4.784322507007714,13.12417250989234,4.088679351834922,2.713606020587224e-05,0.0004536416278593,0.0109555690809494,-291.04972557408206,-14.169429198560112,0.0181268882175226,9.912771456283997,13.082696457726309,1.7302539275522573,0.000268817204301,0.0008047792080134,0.0142180094786729,-38.583260717986185,-10.861086905995396,0.0241935483870967,21.186438141005123,73.97983632136344,19.504051059383126,0.7,1.0,0.4,1728665.1834939232,2344361580.585141,10407601.453833016,10000,10000,10000,10000,10000,10000,1252321.8884867087,1
260,"('каждый', 'тип')",каждый тип,1211,993,9,3049,124,0,ADJF,NOUN,1,2.926043649787438,9.265893652672062,2.605275259848645,7.484264334237266e-06,5.079913865781763e-05,0.0041002277904328,-162.2493725020235,-16.02770805578039,0.0074318744838976,0.0,0.0,0.0,0.0,2.940425177508517e-08,0.0,0.0,0.0,0.0,0.0,60.11344159479864,25.25364075261265,0.7,1.0,0.4,1728665.1834939232,4996144447.648998,10407601.453833016,10000,10000,10000,10000,10000,10000,1728665.1834939232,1
292,"('внутренний', 'среда')",внутренняя среда,941,1436,42,445,80,0,ADJF,NOUN,1,4.980178181795001,15.76481302735252,6.275415794274037,3.1081733117438626e-05,0.0012240248642194,0.0179871520342612,-670.8900879984587,-13.973573523772828,0.0292479108635097,0.0,0.0,0.0,0.0,2.768732644211831e-09,0.0,0.0,0.0,0.0,0.0,90.27433370212825,47.213280248728346,0.7,1.0,0.4,1728665.1834939232,1938836503.22309,10407601.453833016,10000,10000,10000,10000,10000,10000,1168577.664041892,0
294,"('соединительный', 'ткань')",соединительная ткань,126,649,88,1,239,0,ADJF,NOUN,1,10.09382873270607,23.012691969980665,9.372247392999626,0.001076136669357,0.094526791709,0.1280931586608442,-955.6732216118348,-8.859922972861758,0.135593220338983,0.0,0.0,0.0,0.0,1.8587839942882795e-11,0.0,0.0,0.0,0.0,0.0,101.24624756552416,60.99351442563064,0.7,1.0,0.4,699917.3254057617,174350224.28737423,10407601.453833016,10000,10000,10000,10000,10000,10000,751777.2809105795,0
315,"('электронный', 'микроскоп')",электронный микроскоп,128,85,16,12,12,0,ADJF,NOUN,1,10.544360769430126,18.544360769430128,3.9973215033062695,0.0014705882352941,0.0234979105894039,0.0812182741116751,-166.55025497820324,-8.409390936137703,0.125,0.0,0.0,0.0,0.0,1.1199367999059091e-11,0.0,0.0,0.0,0.0,0.0,72.53441778924626,32.20849366991647,0.8,1.0,0.6,1057943.0922982811,287102735.2493223,10407601.453833016,10000,10000,10000,10000,10000,10000,1728665.1834939232,0
